Mem: 356420K used, 492776K free, 60748K shrd, 26812K buff, 187732K cached
CPU:   8% usr   8% sys   0% nic  40% idle  40% io   0% irq   2% sirq
Load average: 0.32 0.21 0.09 1/186 43765
  PID  PPID USER     STAT   VSZ %VSZ CPU %CPU COMMAND
  112     2 root     IW<      0   0%   1   0% [kworker/R-vfio-]
  114     2 root     IW<      0   0%   0   0% [kworker/R-sdhci]
  115     2 root     SW       0   0%   0   0% [irq/49-mmc0]
  116     2 root     IW<      0   0%   2   0% [kworker/R-mld]
  118     2 root     IW<      0   0%   0   0% [kworker/R-ipv6_]
  141     2 root     IW<      0   0%   3   0% [kworker/R-mmc_c]
  189     2 root     SWN      0   0%   3   0% [jffs2_gcd_mtd7]
  309     2 root     SW       0   0%   2   0% [irq/62-I2C2_ALE]
  310     2 root     SW       0   0%   2   0% [irq/61-I2C3_ALE]
  311     2 root     SW       0   0%   2   0% [irq/60-PS_RUN_P]
  312     2 root     SW       0   0%   2   0% [irq/63-THERM_OV]
  478     2 root     SW       0   0%   1   0% [jbd2/mmcblk0p1-]
  479     2 root     IW<      0   0%   1   0% [kworker/R-ext4-]
  488     2 root     SW       0   0%   1   0% [jbd2/mmcblk0p2-]
  489     2 root     IW<      0   0%   1   0% [kworker/R-ext4-]
  497     2 root     IW<      0   0%   1   0% [kworker/R-ext4-]
  503     2 root     SW       0   0%   3   0% [jbd2/mmcblk0p5-]
  504     2 root     IW<      0   0%   3   0% [kworker/R-ext4-]
  515     2 root     IW<      0   0%   1   0% [kworker/R-ext4-]
41756     2 root     IW       0   0%   0   0% [kworker/0:1-eve]
42309     2 root     IW<      0   0%   1   0% [kworker/1:2H]
42700     2 root     IW       0   0%   0   0% [kworker/u12:1-e]
42963     2 root     IW<      0   0%   0   0% [kworker/0:0H]
43022     2 root     IW<      0   0%   3   0% [kworker/3:1H-kb]
43132     2 root     IW<      0   0%   2   0% [kworker/2:0H]
43359     2 root     IW       0   0%   1   0% [kworker/1:1-mm_]
43403     2 root     IW       0   0%   1   0% [kworker/u10:1-w]
43462     2 root     IW       0   0%   2   0% [kworker/2:0-mm_]
43476     2 root     IW       0   0%   3   0% [kworker/3:2-cgr]
43479     2 root     IW       0   0%   0   0% [kworker/u9:1-ev]
43534     2 root     IW       0   0%   1   0% [kworker/1:0-mm_]
43537     2 root     IW       0   0%   0   0% [kworker/0:0-eve]
43584     2 root     IW       0   0%   2   0% [kworker/2:2-mm_]
43585     2 root     IW<      0   0%   0   0% [kworker/0:2H]
43731     2 root     IW       0   0%   3   0% [kworker/3:0-eve]
