cpu
2.08333%
2.83333%
1.91667%
2.16667%
2.75%
3.16667%
1.91667%
1.83333%
2.08333%
1.91667%
2.91667%
2.91667%
2.41667%
2.08333%
1.5%
2.58333%
2.75%
2.25%
1.75%
3.5%
3.66667%
3.16667%
2.83333%
2.58333%
3.08333%
1.75%
2.25%
1.91667%
2.25%
2%
1.83333%
1.5%
2.58333%
2.25%
1.91667%
2.5%
2%
2.58333%
3.16667%
2.25%
2.91667%
2.58333%
1.5%
1.66667%
2.25%
2.08333%
1.75%
2%
1.91667%
2.66667%
1.75%
1.75%
1.83333%
1.33333%
1.33333%
1.91667%
2.75%
2.41667%
1.58333%
2%
1.91667%
2.58333%
2.08333%
3.16667%
3.16667%
1.33333%
1.75%
1.83333%
2.75%
2.5%
2.66667%
1.75%
1.75%
3.08333%
2%
2.33333%
2.25%
2%
2.58333%
2.08333%
1.91667%
2.66667%
1.41667%
1.91667%
1.91667%
2.83333%
2.33333%
1.83333%
2.5%
1.66667%
2.75%
1.91667%
2.91667%
1.75%
2.25%
1.83333%
1.5%
1.16667%
2.41667%
2.91667%
